zone,state,lga,sector,ea,hhid,indiv,cropcode,FILTER1,phl_q1,phl_q2,phl_q3,phl_q4__1,phl_q4__2,phl_q4__3,phl_q4__4,phl_q4__5,phl_q4__6,phl_q5
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,2,1080. MAIZE,YES,1. YES,2,3,0,0,1,0,0,0,0. NONE
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2,1080. MAIZE,YES,1. YES,1,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2,"2180. POTATO, IRISH",YES,1. YES,2,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1601,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1401,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,5,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1601,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1401,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,1020. CASSAVA,YES,1. YES,1,7,1,0,0,0,1,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,1080. MAIZE,YES,1. YES,1,3,0,0,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,1080. MAIZE,YES,1. YES,2,5,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,"1121. YAM, WHITE",YES,1. YES,1,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,"1121. YAM, WHITE",YES,1. YES,3,4,0,0,0,1,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,2190. PUMPKIN,YES,1. YES,6,4,0,1,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1,1080. MAIZE,YES,1. YES,3,2,1,1,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,7,1020. CASSAVA,YES,1. YES,2,4,0,0,0,0,0,1,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,13,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,6,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,7,2190. PUMPKIN,YES,1. YES,2,4,0,1,0,0,0,1,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,13,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,6,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,2,1020. CASSAVA,YES,1. YES,3,5,0,0,0,0,0,1,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,5101,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,5101,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,2,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,5101,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,2,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,1,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,1503,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,13,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1701,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,2101,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,2101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1701,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,13,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,11,1020. CASSAVA,YES,1. YES,1,4,1,0,0,0,1,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,2,1020. CASSAVA,YES,1. YES,2,4,1,0,0,0,1,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,13,1020. CASSAVA,YES,1. YES,1,4,1,0,0,0,1,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,11,1080. MAIZE,YES,1. YES,1,5,0,0,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,2,1080. MAIZE,YES,1. YES,3,4,1,0,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,13,1080. MAIZE,YES,1. YES,1,4,1,0,1,0,0,0,0. NONE
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10074,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10074,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10074,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10074,4,1080. MAIZE,YES,1. YES,1,4,1,0,1,0,0,0,0. NONE
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10076,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10076,1301,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10076,2,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10076,1301,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10077,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1802,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1301,1080. MAIZE,YES,1. YES,2,3,0,1,1,0,0,0,1
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1801,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1302,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1303,1080. MAIZE,YES,1. YES,3,4,0,1,1,0,0,0,1
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1301,2120. OKRO,YES,1. YES,3,4,0,1,1,0,0,0,1
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1802,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1801,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1303,2120. OKRO,YES,1. YES,3,4,0,1,1,0,0,0,1
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,1302,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,1,1040. COCOYAM,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,10,1040. COCOYAM,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,5101,1040. COCOYAM,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,10,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10091,2,1080. MAIZE,YES,1. YES,2,3,0,1,1,0,0,0,1
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10091,5,1080. MAIZE,YES,1. YES,2,3,0,1,1,0,0,0,1
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1801,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1301,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1,1080. MAIZE,YES,1. YES,2,4,0,0,1,0,0,1,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1701,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,2101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1302,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1701,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,4,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,2101,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1301,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1302,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1801,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,2,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,4,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,101,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,3,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,5,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,6,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,1,1020. CASSAVA,YES,1. YES,1,2,0,0,0,1,0,1,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,7,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,1,1080. MAIZE,YES,1. YES,1,1,0,1,0,0,0,1,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,2101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,201,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,201,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,2101,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,5,1090. MELON/EGUSI,YES,1. YES,3,4,0,0,1,0,0,1,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,1306,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,8,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,1304,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,1302,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,1305,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10099,5101,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10099,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,5101,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,2,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10102,1,1080. MAIZE,YES,1. YES,3,4,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10102,1,"1121. YAM, WHITE",YES,1. YES,2,4,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,8,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,9,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,7,1080. MAIZE,YES,1. YES,3,4,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,2,1080. MAIZE,YES,1. YES,3,4,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,10,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,2,1090. MELON/EGUSI,YES,1. YES,4,5,0,0,1,1,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,8,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,7,1090. MELON/EGUSI,YES,1. YES,4,5,0,0,1,1,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,10,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,9,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,4,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,1,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10104,1,1080. MAIZE,YES,1. YES,3,5,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,1,1080. MAIZE,YES,1. YES,1,4,0,0,1,0,0,1,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,3,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,1,1090. MELON/EGUSI,YES,1. YES,3,3,0,0,1,1,0,1,0. NONE
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,4,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,2,1090. MELON/EGUSI,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10107,5102,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10107,5101,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10107,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10107,5103,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,4,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,6,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
